longitude,latitude,housing_median_age,total_rooms,total_bedrooms
-122.23,37.88,41.0,880.0,129.0
-122.22,37.86,21.0,7099.0,1106.0
-122.25,37.85,52.0,1467.0,190.0
-122.25,37.85,52.0,1274.0,235.0
-122.25,37.85,52.0,2393.75,280.0
-122.25,37.85,52.0,919.0,213.0
-122.25,37.84,52.0,2535.0,489.0
-122.25,37.85,52.0,3104.0,687.0
-122.26,37.84,42.0,2555.0,665.0
-122.25,37.84,52.0,2393.75,707.0
-122.25,37.85,52.0,2202.0,434.0
-122.26,37.85,52.0,3503.0,752.0
-122.26,37.85,48.0,2491.0,474.0
-122.26,37.84,52.0,696.0,191.0
