Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,predicted_species
1,5.1,3.5,1.4,0.2,Iris-setosa,Iris-setosa
2,4.9,3.0,1.4,0.2,Iris-setosa,Iris-setosa
3,4.7,3.2,1.3,0.2,Iris-setosa,Iris-setosa
4,4.6,3.1,1.5,0.2,Iris-setosa,Iris-setosa
5,5.0,3.6,1.4,0.2,Iris-setosa,Iris-setosa
6,5.4,3.9,1.7,0.4,Iris-setosa,Iris-setosa
7,7.0,3.2,4.7,1.4,Iris-versicolor,Iris-versicolor
8,6.4,3.2,4.5,1.5,Iris-versicolor,Iris-versicolor
9,6.9,3.1,4.9,1.5,Iris-versicolor,Iris-versicolor
11,5.5,2.3,4.0,1.3,Iris-versicolor,Iris-versicolor
12,6.5,2.8,4.6,1.5,Iris-versicolor,Iris-versicolor
13,5.7,2.8,4.5,1.3,Iris-versicolor,Iris-versicolor
14,6.3,3.3,6.0,2.5,Iris-virginica,Iris-virginica
15,5.8,2.7,5.1,1.9,Iris-virginica,Iris-virginica
16,7.1,3.0,5.9,2.1,Iris-virginica,Iris-virginica
17,6.3,2.9,5.6,1.8,Iris-virginica,Iris-virginica
18,6.5,3.0,5.8,2.2,Iris-virginica,Iris-virginica
19,7.6,3.0,6.6,2.1,Iris-virginica,Iris-virginica
20,4.9,2.5,4.5,1.7,Iris-virginica,Iris-virginica
