fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.7,0.0,2.36,0.08,11.0,34.0,1.0,3.51,0.56,9.4,5.0
7.8,0.88,0.0,2.6,0.1,25.0,106.06,1.0,3.2,0.68,9.8,6.42
7.8,0.56,0.04,2.3,0.09,15.0,54.0,1.0,3.26,0.65,9.8,5.0
11.2,0.28,0.56,1.9,0.08,17.0,60.0,1.0,3.16,0.58,9.8,6.0
7.4,0.7,0.0,1.9,0.08,11.69,34.0,1.0,3.51,0.56,9.4,5.0
7.67,0.66,0.0,1.8,0.08,13.0,40.0,1.0,3.36,0.56,9.4,5.0
7.9,0.6,0.16,1.6,0.07,15.0,59.0,1.0,3.3,0.46,9.4,5.0
7.3,0.65,0.0,1.2,0.06,15.0,21.0,0.99,3.39,0.47,10.0,7.0
7.8,0.58,0.11,2.0,0.07,9.0,18.0,1.0,3.36,0.57,9.5,5.05
7.5,0.5,0.36,6.1,0.09,17.0,102.0,1.0,3.35,0.8,10.5,5.0
6.7,0.77,0.08,1.8,0.1,15.0,65.0,1.0,3.28,0.54,9.2,5.0
7.5,0.5,0.36,6.1,0.07,17.0,102.0,1.0,3.28,0.8,10.5,5.0
5.6,0.62,0.0,1.6,0.09,16.0,54.1,0.99,3.58,0.52,9.9,5.56
7.8,0.61,0.29,2.8,0.11,9.0,29.0,1.0,3.26,1.56,9.1,5.0
